Company,Industry,State,City,Credit Rating Agency,Rating,Previous Rating,Size rated (Rs. crore),Date of last rating action,Last Rating Action,RatingType,Assigned User
Jet Airways (India) Limited,Airlines & Allied Services,Maharashtra,Mumbai,ICRA,D  ,D  ,698.9,2020-2-13,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Mulji Devshi & Company,Trading,Maharashtra,Mumbai,CARE,D  ,A4  ,19.75,2020-2-13,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
BDA Healthcare Private Limited,Pharmaceuticals & Drugs,Maharashtra,Nagpur,ICRA,D  ,B  ,12,2020-2-12,Downgraded,Accepted,Jayshree Wangikar
Charms Chem Private Limited,Trading,Maharashtra,Pune,CRISIL,D /D  ,D /D  ,6.14,2020-2-12,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Konark Synthetic Limited,Textile,Maharashtra,Mumbai,India Ratings,D /D  ,B- /A4  ,27.95,2020-2-12,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Pawar Electro Systems Private Limited,Medical Equipment/Supplies/Accessories,Maharashtra,Mumbai,CARE,D /D  ,D /D  ,105.39,2020-2-12,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Shree Hanuman Trust,Construction - Real Estate,Maharashtra,Mumbai,CRISIL,D  ,BB-  ,59.5,2020-2-12,Downgraded,Accepted,Jayshree Wangikar
Vitthal Corporation Limited,Sugar,Maharashtra,Pune,CARE,D  ,B  ,171.25,2020-2-12,Downgraded,Accepted,Jayshree Wangikar
Abhay Nutrition Private Limited (Erstwhile Abhay Cotex Private Limited),Solvent  Extraction,Maharashtra,Jalna,CRISIL,D /D  ,B+(Credit Watch)/A4(Credit Watch)  ,205,2020-2-11,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Siddhanath Sugar Mills Limited,Sugar,Maharashtra,Solapur,CRISIL,D  ,B+  ,170,2020-2-11,Downgraded,Accepted,Jayshree Wangikar
Hanuman Dal Industries,Consumer Food,Maharashtra,Nagpur,CARE,D  ,D  ,25.06,2020-1-10,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Hanuman Rice Industries,Consumer Food,Maharashtra,Nagpur,CARE,D  ,D  ,16.82,2020-1-10,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Konduskar Travels Private Limited,Travel Services,Maharashtra,Kolhapur,CRISIL,D  ,B-  ,18,2020-1-10,Downgraded,Accepted,Jayshree Wangikar
Shri Kedareshwar Builders and Developers Private Limited,Construction - Real Estate,Maharashtra,Nagpur,CARE,D  ,D  ,70.88,2020-2-10,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Vega Jeweldiam Private Limited,Diamond  &  Jewellery,Maharashtra,Mumbai,CARE,D  ,BB  ,27,2020-1-9,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Kalyan Vaijinathrao Kale,Consumer Food,Maharashtra,Aurangabad,CARE,D  ,B+  ,3.73,2020-1-8,Downgraded,Accepted,Jayshree Wangikar
Sidy Datacom Private Limited,Electric Equipment,Maharashtra,Mumbai,India Ratings,D /D  ,B+ /A4  ,25,2020-1-8,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
B.J. Grain,Trading,Maharashtra,Nagpur,CARE,D  ,D  ,6,2020-2-7,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Latha Rice Industries,Consumer Food,Maharashtra,Nagpur,CARE,D  ,D  ,9.39,2020-2-7,Retained,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
NAIKNAVARE BUILDCON PRIVATE LIMITED,Construction - Real Estate,Maharashtra,Pune,CARE,D  ,D  ,80,2020-1-6,Retained,Accepted,Jayshree Wangikar
Naiknavare Profile Constructions Private Limited,Construction - Real Estate,Maharashtra,Pune,CARE,C  ,C  ,75,2020-1-6,Retained,Accepted,Jayshree Wangikar
Vega Jeweldiam Private Limited,Diamond  &  Jewellery,Maharashtra,Mumbai,ICRA,D /D  ,   ,35,2020-1-6,New,Unaccepted,Jayshree Wangikar
SD MilkPro Private Limited,Consumer Food,Maharashtra,Mumbai,CARE,D  ,BB-  ,7.25,2020-2-6,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Dharamchand Paraschand Exports,Diamond  &  Jewellery,Maharashtra,Mumbai,ICRA,D  ,A4  ,66,2020-1-3,Downgraded,Issuer did not co-operate; Based on best available information,Jayshree Wangikar
Karvy Financial Services Limited,Finance - NBFC,Maharashtra,Mumbai,ICRA,D  ,B-  ,174.36,2020-1-3,Downgraded,Accepted,
Karvy Financial Services Limited,Finance - NBFC,Maharashtra,Mumbai,ICRA,D  ,B-  ,30,2020-1-3,Downgraded,Accepted,
Viltans Polyplast,Packaging,Maharashtra,Mumbai,CRISIL,D /D  ,B- /A4  ,7.5,2020-1-3,Downgraded,Issuer did not co-operate; Based on best available information,
Gemini Consolidated Projects Private Limited,Engineering,Maharashtra,Nagpur,CARE,D /D  ,D /D  ,3,2020-2-3,Retained,Accepted,
Mehadia & Sons,Trading,Maharashtra,Nagpur,CARE,C  ,C  ,6.5,2020-2-3,Retained,Issuer did not co-operate; Based on best available information,
Mehadia & Sons C & F Division,Trading,Maharashtra,Nagpur,CARE,C /A4  ,C /A4  ,8,2020-2-3,Retained,Issuer did not co-operate; Based on best available information,
Prasad Sugar and Allied Agro Products Limited,Sugar,Maharashtra,Ahmednagar,CRISIL,D  ,   ,180,2020-2-3,New,Unaccepted,
R.J. Tradelinks,Trading,Maharashtra,Nagpur,CARE,C /A4  ,C /A4  ,8.5,2020-2-3,Retained,Issuer did not co-operate; Based on best available information,
Central Godavari Krushak Seva Sahakari Sanstha Limited,Miscellaneous,Maharashtra,Nashik,CRISIL,D  ,   ,66.2,2020-3-2,New,Unaccepted,
FSD Building Materials Private Limited,Wood & Wood Products,Maharashtra,Mumbai,CARE,D /D  ,BB- /A4  ,27,2020-3-2,Downgraded,Issuer did not co-operate; Based on best available information,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
